drug_id,name,generic_name,drug_class,indications,description,side_effects,contraindications
D001,Lisinopril,lisinopril,ACE inhibitor,"hypertension, heart failure, post-MI cardioprotection","Lisinopril is an ACE inhibitor used to treat high blood pressure, heart failure, and to improve survival after a heart attack. It works by relaxing blood vessels so blood can flow more easily.","dry cough, dizziness, headache, hyperkalemia, angioedema","pregnancy, bilateral renal artery stenosis, history of ACE-inhibitor angioedema"
D002,Amlodipine,amlodipine besylate,Calcium channel blocker,"hypertension, chronic stable angina, coronary artery disease","Amlodipine is a calcium channel blocker that relaxes blood vessels and increases blood and oxygen supply to the heart. Used for high blood pressure and chest pain.","peripheral edema, flushing, palpitations, fatigue, dizziness","severe aortic stenosis, cardiogenic shock"
D003,Metformin,metformin hydrochloride,Biguanide antidiabetic,"type 2 diabetes mellitus, prediabetes, polycystic ovary syndrome","Metformin is the first-line oral medication for type 2 diabetes. It lowers blood glucose by decreasing hepatic glucose production and improving insulin sensitivity.","nausea, diarrhea, abdominal discomfort, vitamin B12 deficiency, lactic acidosis (rare)","severe renal impairment, metabolic acidosis, acute heart failure"
D004,Atorvastatin,atorvastatin calcium,HMG-CoA reductase inhibitor (statin),"high cholesterol, cardiovascular disease prevention, hyperlipidemia","Atorvastatin is a statin that lowers LDL cholesterol and triglycerides while modestly raising HDL. Reduces risk of heart attack and stroke in high-risk patients.","muscle pain, elevated liver enzymes, headache, joint pain, rare rhabdomyolysis","active liver disease, pregnancy, breastfeeding"
D005,Sertraline,sertraline hydrochloride,SSRI antidepressant,"major depressive disorder, panic disorder, PTSD, OCD, social anxiety disorder","Sertraline is a selective serotonin reuptake inhibitor used to treat depression and several anxiety disorders by increasing serotonin in the brain.","nausea, insomnia, sexual dysfunction, sweating, dizziness, weight changes","concurrent MAOI use, pimozide co-administration"
D006,Ibuprofen,ibuprofen,NSAID,"mild to moderate pain, fever, inflammation, headache, menstrual cramps, arthritis","Ibuprofen is a nonsteroidal anti-inflammatory drug that reduces pain, fever, and inflammation by inhibiting cyclooxygenase enzymes.","stomach upset, heartburn, GI bleeding, kidney impairment, hypertension","peptic ulcer, severe heart failure, third-trimester pregnancy, aspirin-sensitive asthma"
D007,Acetaminophen,acetaminophen,Analgesic / antipyretic,"mild to moderate pain, fever, headache, osteoarthritis pain","Acetaminophen relieves pain and reduces fever. It is the preferred analgesic when NSAIDs are contraindicated. Hepatotoxic in overdose.","rare allergic reaction, hepatotoxicity in overdose, skin rash","severe hepatic impairment, known hypersensitivity"
D008,Omeprazole,omeprazole,Proton pump inhibitor,"GERD, peptic ulcer disease, H. pylori eradication, Zollinger-Ellison syndrome, erosive esophagitis","Omeprazole is a proton pump inhibitor that decreases stomach acid production. Used for acid reflux, ulcers, and related GI conditions.","headache, abdominal pain, diarrhea, vitamin B12 deficiency, increased fracture risk long-term","known hypersensitivity, concurrent rilpivirine or nelfinavir"
D009,Levothyroxine,levothyroxine sodium,Thyroid hormone,"hypothyroidism, thyroid hormone replacement, goiter, thyroid cancer suppression","Levothyroxine is a synthetic thyroid hormone used to treat underactive thyroid. Restores normal metabolic rate.","palpitations, weight loss, insomnia, sweating, heat intolerance if overdosed","untreated adrenal insufficiency, acute myocardial infarction, untreated thyrotoxicosis"
D010,Albuterol,albuterol sulfate,Short-acting beta-2 agonist,"asthma, exercise-induced bronchospasm, COPD, acute bronchospasm","Albuterol is a fast-acting bronchodilator that relaxes airway smooth muscle for relief of bronchospasm in asthma and COPD.","tremor, palpitations, headache, nervousness, throat irritation","hypersensitivity to albuterol"
D011,Losartan,losartan potassium,Angiotensin receptor blocker (ARB),"hypertension, diabetic nephropathy, stroke prevention in left ventricular hypertrophy","Losartan is an angiotensin II receptor blocker used to treat high blood pressure and protect the kidneys in type 2 diabetics with nephropathy.","dizziness, hyperkalemia, fatigue, upper respiratory infection","pregnancy, concurrent aliskiren in diabetics"
D012,Metoprolol,metoprolol succinate,Beta-1 selective blocker,"hypertension, angina, heart failure, post-MI, atrial fibrillation rate control","Metoprolol is a cardioselective beta-blocker that lowers heart rate and blood pressure and reduces cardiac workload.","fatigue, bradycardia, cold extremities, depression, bronchospasm at high doses","severe bradycardia, second/third degree AV block, decompensated heart failure"
D013,Hydrochlorothiazide,hydrochlorothiazide,Thiazide diuretic,"hypertension, edema from heart failure, mild fluid retention","Hydrochlorothiazide is a thiazide diuretic that lowers blood pressure by increasing urinary sodium and water excretion.","hypokalemia, hyperuricemia, hyperglycemia, photosensitivity, dizziness","anuria, sulfonamide hypersensitivity"
D014,Gabapentin,gabapentin,Anticonvulsant / neuropathic pain agent,"neuropathic pain, postherpetic neuralgia, partial seizures, restless legs syndrome","Gabapentin is used for nerve pain and as an adjunct anticonvulsant. Also helps restless legs syndrome and certain anxiety states.","drowsiness, dizziness, peripheral edema, ataxia, weight gain","known hypersensitivity"
D015,Fluoxetine,fluoxetine hydrochloride,SSRI antidepressant,"major depressive disorder, bulimia nervosa, OCD, panic disorder, premenstrual dysphoric disorder","Fluoxetine is an SSRI antidepressant with a long half-life used for depression, OCD, bulimia, and PMDD.","insomnia, nausea, sexual dysfunction, anxiety, weight loss","MAOI use within 14 days, pimozide or thioridazine co-administration"
D016,Amoxicillin,amoxicillin,Aminopenicillin antibiotic,"bacterial infections, otitis media, strep throat, sinusitis, urinary tract infection, H. pylori","Amoxicillin is a broad-spectrum penicillin-class antibiotic effective against many gram-positive and some gram-negative bacteria.","diarrhea, rash, nausea, candidiasis, allergic reaction","penicillin allergy, mononucleosis (rash risk)"
D017,Azithromycin,azithromycin,Macrolide antibiotic,"respiratory tract infections, community-acquired pneumonia, chlamydia, otitis media","Azithromycin is a macrolide antibiotic with a long half-life often used for respiratory infections and sexually transmitted infections.","diarrhea, nausea, abdominal pain, QT prolongation, hepatotoxicity","history of cholestatic jaundice with prior macrolide use, severe hepatic impairment"
D018,Insulin Glargine,insulin glargine,Long-acting basal insulin,"type 1 diabetes, type 2 diabetes requiring insulin","Insulin glargine is a long-acting basal insulin analog providing 24-hour glycemic control with a relatively flat profile.","hypoglycemia, injection site reaction, weight gain, lipodystrophy","hypoglycemia, hypersensitivity to glargine"
D019,Warfarin,warfarin sodium,Vitamin K antagonist anticoagulant,"atrial fibrillation, deep vein thrombosis, pulmonary embolism, mechanical heart valve","Warfarin is an oral anticoagulant that inhibits vitamin K-dependent clotting factors. Requires INR monitoring.","bleeding, bruising, skin necrosis, hair loss, drug-food interactions","pregnancy, active bleeding, severe hypertension, recent CNS surgery"
D020,Prednisone,prednisone,Oral corticosteroid,"inflammatory conditions, autoimmune disorders, severe asthma exacerbation, allergic reactions, rheumatoid arthritis","Prednisone is a systemic corticosteroid with broad anti-inflammatory and immunosuppressive effects.","hyperglycemia, weight gain, mood changes, osteoporosis, immunosuppression, hypertension","systemic fungal infection, live vaccine administration"
D021,Diphenhydramine,diphenhydramine hydrochloride,First-generation antihistamine,"allergic rhinitis, urticaria, insomnia (short-term), motion sickness, allergic reactions","Diphenhydramine is a first-generation H1 antihistamine used for allergies, mild insomnia, and motion sickness. Sedating.","drowsiness, dry mouth, blurred vision, urinary retention, confusion in elderly","narrow-angle glaucoma, prostatic hypertrophy, MAOI use"
D022,Cetirizine,cetirizine hydrochloride,Second-generation antihistamine,"seasonal allergic rhinitis, perennial allergies, chronic urticaria","Cetirizine is a second-generation antihistamine providing 24-hour allergy relief with minimal sedation versus older agents.","mild drowsiness, dry mouth, headache, fatigue","known hypersensitivity, end-stage renal disease"
D023,Pantoprazole,pantoprazole sodium,Proton pump inhibitor,"GERD, erosive esophagitis, Zollinger-Ellison syndrome","Pantoprazole is a proton pump inhibitor used for acid-related GI disorders. Available oral and IV.","headache, diarrhea, abdominal pain, vitamin B12 deficiency, hypomagnesemia","known hypersensitivity to substituted benzimidazoles"
D024,Furosemide,furosemide,Loop diuretic,"edema in heart failure, pulmonary edema, hypertension, renal edema","Furosemide is a loop diuretic that produces rapid diuresis, used in heart failure exacerbations and edematous states.","hypokalemia, dehydration, ototoxicity at high doses, hyperuricemia","anuria, severe electrolyte depletion"
D025,Clopidogrel,clopidogrel bisulfate,P2Y12 antiplatelet,"acute coronary syndrome, post-stent prevention, recent stroke, peripheral artery disease","Clopidogrel inhibits platelet aggregation by blocking the P2Y12 receptor. Used after stents and in ACS.","bleeding, bruising, GI upset, rash, rare TTP","active pathological bleeding, severe hepatic impairment"
D026,Citalopram,citalopram hydrobromide,SSRI antidepressant,"major depressive disorder, anxiety disorders","Citalopram is an SSRI used primarily for depression. Dose-dependent QT prolongation warning above 40 mg/day.","nausea, dry mouth, drowsiness, sweating, QT prolongation","MAOI use, congenital long QT syndrome, concurrent pimozide"
D027,Tamsulosin,tamsulosin hydrochloride,Alpha-1 adrenergic blocker,"benign prostatic hyperplasia, ureteral stones medical expulsive therapy","Tamsulosin relaxes smooth muscle in the prostate and bladder neck to improve urinary flow in BPH.","dizziness, orthostatic hypotension, retrograde ejaculation, rhinitis","known hypersensitivity, concurrent strong CYP3A4 inhibitors caution"
D028,Montelukast,montelukast sodium,Leukotriene receptor antagonist,"asthma maintenance, exercise-induced bronchospasm, allergic rhinitis","Montelukast blocks leukotriene receptors to reduce airway inflammation in asthma and allergic rhinitis.","headache, abdominal pain, mood changes, behavioral effects (black box)","known hypersensitivity"
D029,Hydroxyzine,hydroxyzine hydrochloride,First-generation antihistamine / anxiolytic,"anxiety, pruritus, allergic conditions, preoperative sedation","Hydroxyzine is a sedating antihistamine used for anxiety, itching, and as a mild sedative.","sedation, dry mouth, dizziness, QT prolongation at high doses","early pregnancy, prolonged QT interval"
